$$ PartName=Step4_2_module_offsets
$$ Author=
$$ MeasurementDate=2023-11-20T14:55:54
$$ Description=
$$ ExportBy=ZONE3
Feat. Type,Feat. Name,Value,Actual,Nominal,Dev.,Tol-,Tol+,Out of Tol.,Comment,
,,FNAL3-2,FNAL3-2,,,,,,,
,,simurthy,simurthy,,,,,,,
,,LD,LD,,,,,,,
,,Full,Full,,,,,,,
,,200,200,,,,,,,
Point,ModuleThickness15,Z,3.23739,1.66295,1.57444,0.00000,0.00000,,,
Point,ModuleThickness15,R,280.41987,225.54566,54.87421,0.00000,0.00000,,,
Point,ModuleThickness15,ANG,51.03978,49.38926,1.65052,0.00000,0.00000,,,
Point,ModuleThickness15,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness15,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness16,X,149.66834,127.64440,22.02394,0.00000,0.00000,,,
Point,ModuleThickness16,Y,200.22068,171.64402,28.57666,0.00000,0.00000,,,
Point,ModuleThickness16,Z,3.31147,1.62253,1.68893,0.00000,0.00000,,,
Point,ModuleThickness16,R,249.97787,213.90363,36.07424,0.00000,0.00000,,,
Point,ModuleThickness16,ANG,53.22126,53.36338,-0.14211,0.00000,0.00000,,,
Point,ModuleThickness16,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness16,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness17,X,133.89181,94.64951,39.24230,0.00000,0.00000,,,
Point,ModuleThickness17,Y,199.80059,190.55865,9.24194,0.00000,0.00000,,,
Point,ModuleThickness17,Z,3.23193,1.59518,1.63675,0.00000,0.00000,,,
Point,ModuleThickness17,R,240.51464,212.77013,27.74450,0.00000,0.00000,,,
Point,ModuleThickness17,ANG,56.17289,63.58664,-7.41376,0.00000,0.00000,,,
Point,ModuleThickness17,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness17,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness18,X,93.48642,65.00569,28.48073,0.00000,0.00000,,,
Point,ModuleThickness18,Y,221.86885,207.39843,14.47042,0.00000,0.00000,,,
Point,ModuleThickness18,Z,3.09811,1.56336,1.53475,0.00000,0.00000,,,
Point,ModuleThickness18,R,240.76025,217.34730,23.41295,0.00000,0.00000,,,
Point,ModuleThickness18,ANG,67.15144,72.59724,-5.44580,0.00000,0.00000,,,
Point,ModuleThickness18,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness18,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness19,X,103.10341,92.09844,11.00497,0.00000,0.00000,,,
Point,ModuleThickness19,Y,284.63002,267.05697,17.57305,0.00000,0.00000,,,
Point,ModuleThickness19,Z,3.08166,1.69575,1.38591,0.00000,0.00000,,,
Point,ModuleThickness19,R,302.72853,282.49168,20.23685,0.00000,0.00000,,,
Point,ModuleThickness19,ANG,70.08776,70.97251,-0.88475,0.00000,0.00000,,,
Point,ModuleThickness19,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness19,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness20,X,120.77946,116.90836,3.87109,0.00000,0.00000,,,
Point,ModuleThickness20,Y,321.49010,302.01200,19.47810,0.00000,0.00000,,,
Point,ModuleThickness20,Z,3.39880,1.69391,1.70490,0.00000,0.00000,,,
Point,ModuleThickness20,R,343.42912,323.84998,19.57913,0.00000,0.00000,,,
